SummaryId,EPCalc,EPType,ReturnPeriod,Loss
1,1,1,1000.000000,3400000.000000
1,1,1,500.000000,3400000.000000
1,1,1,333.333333,3400000.000000
1,1,1,250.000000,3400000.000000
1,1,1,200.000000,3400000.000000
1,1,1,166.666667,3400000.000000
1,1,1,142.857143,3400000.000000
1,1,1,125.000000,3400000.000000
1,1,1,111.111111,3400000.000000
1,1,1,100.000000,3400000.000000
1,1,1,90.909091,3400000.000000
1,1,1,83.333333,3400000.000000
1,1,1,76.923077,3400000.000000
1,1,1,71.428571,3075640.000000
1,1,1,66.666667,3075640.000000
1,1,1,62.500000,3075640.000000
1,1,1,58.823529,2672400.000000
1,1,1,55.555556,2672400.000000
1,1,1,52.631579,2672400.000000
1,1,1,50.000000,2346000.000000
1,1,1,47.619048,2332400.000000
1,1,1,45.454545,2332400.000000
1,1,1,43.478261,2332400.000000
1,1,1,41.666667,2006000.000000
1,1,1,40.000000,2006000.000000
1,1,1,38.461538,2006000.000000
1,1,1,37.037037,2006000.000000
1,1,1,35.714286,2006000.000000
1,1,1,34.482759,1666000.000000
1,1,1,33.333333,1666000.000000
1,1,1,32.258065,1666000.000000
1,1,1,31.250000,1666000.000000
1,1,1,30.303030,1666000.000000
1,1,1,29.411765,1666000.000000
1,1,1,28.571429,1666000.000000
1,1,1,27.777778,1666000.000000
1,1,1,27.027027,1331440.000000
1,1,1,26.315789,1331440.000000
1,1,1,25.641026,1331440.000000
1,1,1,25.000000,1331440.000000
1,1,1,24.390244,1331440.000000
1,1,1,23.809524,1331440.000000
1,1,1,23.255814,1331440.000000
1,1,1,22.727273,1331440.000000
1,1,1,22.222222,1331440.000000
1,1,1,21.739130,1331440.000000
1,1,1,21.276596,1331440.000000
1,1,1,20.833333,1331440.000000
1,1,1,20.408163,1331440.000000
1,1,1,20.000000,996879.937500
1,1,1,19.607843,996879.937500
1,1,1,19.230769,996879.937500
1,1,1,18.867925,996879.937500
1,1,1,18.518519,996879.937500
1,1,1,18.181818,996879.937500
1,1,1,17.857143,673200.000000
1,1,1,17.543860,673200.000000
1,1,1,17.241379,673200.000000
1,1,1,16.949153,673200.000000
1,1,1,16.666667,673200.000000
1,1,1,16.393443,673200.000000
1,1,1,16.129032,673200.000000
1,1,1,15.873016,673200.000000
1,1,1,15.625000,673200.000000
1,1,1,15.384615,673200.000000
1,1,1,15.151515,673200.000000
1,1,1,14.925373,673200.000000
