group_set_id,SummaryId,EPCalc,EPType,RP,Loss
0,1,2,1,50000.000000,34000000.000000
0,1,2,1,25000.000000,34000000.000000
0,1,2,1,16666.666667,32070000.000000
0,1,2,1,12500.000000,22790000.000000
0,1,2,1,10000.000000,22330000.000000
0,1,2,1,8333.333333,19300000.000000
0,1,2,1,7142.857143,19300000.000000
0,1,2,1,6250.000000,19300000.000000
0,1,2,1,5555.555556,19300000.000000
0,1,2,1,5000.000000,19300000.000000
0,1,2,1,4545.454545,19300000.000000
0,1,2,1,4166.666667,19300000.000000
0,1,2,1,3846.153846,17370000.000000
0,1,2,1,3571.428571,17370000.000000
0,1,2,1,3333.333333,17370000.000000
0,1,2,1,3125.000000,17370000.000000
0,1,2,1,2941.176471,17370000.000000
0,1,2,1,2777.777778,17370000.000000
0,1,2,1,2631.578947,17370000.000000
0,1,2,1,2500.000000,17370000.000000
0,1,2,1,2380.952381,17370000.000000
0,1,2,1,2272.727273,17370000.000000
0,1,2,1,2173.913043,17370000.000000
0,1,2,1,2083.333333,17370000.000000
0,1,2,1,2000.000000,17370000.000000
0,1,2,1,1923.076923,17370000.000000
0,1,2,1,1851.851852,17370000.000000
0,1,2,1,1785.714286,17370000.000000
0,1,2,1,1724.137931,17370000.000000
0,1,2,1,1666.666667,16910000.120000
0,1,2,1,1612.903226,16910000.120000
0,1,2,1,1562.500000,16909999.880000
0,1,2,1,1515.151515,16909999.880000
0,1,2,1,1470.588235,16891608.500000
0,1,2,1,1428.571429,16891608.500000
0,1,2,1,1388.888889,16630000.120000
0,1,2,1,1351.351351,15440000.000000
0,1,2,1,1315.789474,15440000.000000
0,1,2,1,1282.051282,15440000.000000
0,1,2,1,1250.000000,15440000.000000
0,1,2,1,1219.512195,15440000.000000
0,1,2,1,1190.476190,15440000.000000
0,1,2,1,1162.790698,14978097.500000
0,1,2,1,1136.363636,14943066.880000
0,1,2,1,1111.111111,14700000.000000
0,1,2,1,1086.956522,14700000.000000
0,1,2,1,1063.829787,14700000.000000
0,1,2,1,1041.666667,14700000.000000
0,1,2,1,1020.408163,14700000.000000
0,1,2,1,1000.000000,14700000.000000
0,1,2,1,980.392157,14700000.000000
0,1,2,1,961.538462,14700000.000000
0,1,2,1,943.396226,14700000.000000
0,1,2,1,925.925926,14700000.000000
0,1,2,1,909.090909,14700000.000000
0,1,2,1,892.857143,14700000.000000
0,1,2,1,877.192982,14700000.000000
0,1,2,1,862.068966,14700000.000000
0,1,2,1,847.457627,14700000.000000
0,1,2,1,833.333333,14700000.000000
0,1,2,1,819.672131,13510000.000000
0,1,2,1,806.451613,13230000.000000
0,1,2,1,793.650794,13230000.000000
0,1,2,1,781.250000,13230000.000000
0,1,2,1,769.230769,13230000.000000
0,1,2,1,757.575758,13230000.000000
0,1,2,1,746.268657,12130000.000000
0,1,2,1,735.294118,11760000.000000
0,1,2,1,724.637681,11760000.000000
0,1,2,1,714.285714,11760000.000000
0,1,2,1,704.225352,11760000.000000
0,1,2,1,694.444444,11760000.000000
0,1,2,1,684.931507,11760000.000000
0,1,2,1,675.675676,10577369.500000
0,1,2,1,666.666667,10577369.500000
0,1,2,1,657.894737,10290000.000000
0,1,2,1,649.350649,9195710.250000
0,1,2,1,641.025641,9195710.250000
0,1,2,1,632.911392,9190000.120000
0,1,2,1,625.000000,9190000.120000
0,1,2,1,617.283951,9190000.000000
0,1,2,1,609.756098,9188323.120000
0,1,2,1,602.409639,9188323.120000
0,1,2,1,595.238095,9186934.500000
0,1,2,1,588.235294,9062254.380000
0,1,2,1,581.395349,9057381.120000
0,1,2,1,574.712644,9057381.120000
0,1,2,1,568.181818,8820000.000000
0,1,2,1,561.797753,8820000.000000
0,1,2,1,555.555556,8782897.620000
0,1,2,1,549.450549,8730000.000000
0,1,2,1,543.478261,7787375.750000
0,1,2,1,537.634409,7704332.250000
0,1,2,1,531.914894,7704332.250000
0,1,2,1,526.315789,7608280.620000
0,1,2,1,520.833333,7350000.000000
0,1,2,1,515.463918,7350000.000000
0,1,2,1,510.204082,7350000.000000
0,1,2,1,505.050505,7255069.500000
0,1,2,1,500.000000,7147973.250000
0,1,2,1,495.049505,6296768.120000
0,1,2,1,490.196078,6157660.250000
0,1,2,1,485.436893,4870000.000000
0,1,2,1,480.769231,4869999.640000
0,1,2,1,476.190476,4841821.500000
0,1,2,1,471.698113,4841821.500000
0,1,2,1,467.289720,4841821.500000
0,1,2,1,462.962963,4834115.750000
0,1,2,1,458.715596,4822124.000000
0,1,2,1,454.545455,4819948.750000
0,1,2,1,450.450450,4661151.750000
0,1,2,1,446.428571,4602150.120000
0,1,2,1,442.477876,4441431.880000
0,1,2,1,438.596491,4441431.880000
0,1,2,1,434.782609,4410000.000000
0,1,2,1,431.034483,4381619.500000
0,1,2,1,427.350427,4305123.620000
0,1,2,1,423.728814,3860000.000000
0,1,2,1,420.168067,3446620.250000
0,1,2,1,416.666667,3400000.240000
0,1,2,1,413.223140,3400000.240000
0,1,2,1,409.836066,3400000.120000
0,1,2,1,406.504065,3400000.000000
0,1,2,1,403.225806,3397564.000000
0,1,2,1,400.000000,3393723.240000
0,1,2,1,396.825397,3383654.620000
0,1,2,1,393.700787,3377666.000000
0,1,2,1,390.625000,3376644.500000
0,1,2,1,387.596899,3375291.000000
0,1,2,1,384.615385,3374973.750000
0,1,2,1,381.679389,3370491.750000
0,1,2,1,378.787879,3368821.000000
0,1,2,1,375.939850,3367260.880000
0,1,2,1,373.134328,3365051.380000
0,1,2,1,370.370370,3365051.380000
0,1,2,1,367.647059,3364445.870000
0,1,2,1,364.963504,3364445.870000
0,1,2,1,362.318841,3364211.000000
0,1,2,1,359.712230,3356768.240000
0,1,2,1,357.142857,3356768.240000
0,1,2,1,354.609929,3356768.240000
0,1,2,1,352.112676,3356768.240000
0,1,2,1,349.650350,3355729.380000
0,1,2,1,347.222222,3355346.500000
0,1,2,1,344.827586,3355091.240000
0,1,2,1,342.465753,3353690.750000
0,1,2,1,340.136054,3353004.250000
0,1,2,1,337.837838,3351184.500000
0,1,2,1,335.570470,3346491.740000
0,1,2,1,333.333333,3346491.740000
0,1,2,1,331.125828,3345327.130000
0,1,2,1,328.947368,3341740.500000
0,1,2,1,326.797386,3335654.000000
0,1,2,1,324.675325,3334906.250000
0,1,2,1,322.580645,3333560.870000
0,1,2,1,320.512821,3333351.500000
0,1,2,1,318.471338,3329167.130000
0,1,2,1,316.455696,3329167.130000
0,1,2,1,314.465409,3328536.250000
0,1,2,1,312.500000,3327198.750000
0,1,2,1,310.559006,3327198.750000
0,1,2,1,308.641975,3324642.630000
0,1,2,1,306.748466,3317175.380000
0,1,2,1,304.878049,3317175.380000
0,1,2,1,303.030303,3315710.370000
0,1,2,1,301.204819,3314251.260000
0,1,2,1,299.401198,3304822.130000
0,1,2,1,297.619048,3299233.380000
0,1,2,1,295.857988,3296680.620000
0,1,2,1,294.117647,3294806.500000
0,1,2,1,292.397661,3293334.000000
0,1,2,1,290.697674,3291541.500000
0,1,2,1,289.017341,3291201.370000
0,1,2,1,287.356322,3290123.380000
0,1,2,1,285.714286,3285388.750000
0,1,2,1,284.090909,3284732.250000
0,1,2,1,282.485876,3279853.870000
0,1,2,1,280.898876,3277769.380000
0,1,2,1,279.329609,3276167.620000
0,1,2,1,277.777778,3276167.620000
0,1,2,1,276.243094,3274514.370000
0,1,2,1,274.725275,3274514.370000
0,1,2,1,273.224044,3271831.870000
0,1,2,1,271.739130,3271831.870000
0,1,2,1,270.270270,3270633.250000
0,1,2,1,268.817204,3269283.380000
0,1,2,1,267.379679,3269283.380000
0,1,2,1,265.957447,3263267.240000
0,1,2,1,264.550265,3261137.750000
0,1,2,1,263.157895,3258231.750000
0,1,2,1,261.780105,3257580.750000
0,1,2,1,260.416667,3254760.250000
0,1,2,1,259.067358,3251290.000000
0,1,2,1,257.731959,3249450.120000
0,1,2,1,256.410256,3247545.260000
0,1,2,1,255.102041,3243433.250000
0,1,2,1,253.807107,3238072.130000
0,1,2,1,252.525253,3237091.500000
0,1,2,1,251.256281,3235131.000000
0,1,2,1,250.000000,3234762.240000
0,1,2,1,248.756219,3233822.250000
0,1,2,1,247.524752,3233822.250000
0,1,2,1,246.305419,3233822.250000
0,1,2,1,245.098039,3228941.000000
0,1,2,1,243.902439,3228931.250000
0,1,2,1,242.718447,3224811.000000
0,1,2,1,241.545894,3224811.000000
0,1,2,1,240.384615,3222677.500000
0,1,2,1,239.234450,3219937.380000
0,1,2,1,238.095238,3217270.370000
0,1,2,1,236.966825,3213029.500000
0,1,2,1,235.849057,3212833.250000
0,1,2,1,234.741784,3211249.620000
0,1,2,1,233.644860,3211155.750000
0,1,2,1,232.558140,3208605.250000
0,1,2,1,231.481481,3207686.750000
0,1,2,1,230.414747,3206650.120000
0,1,2,1,229.357798,3206650.120000
0,1,2,1,228.310502,3204881.120000
0,1,2,1,227.272727,3202165.000000
0,1,2,1,226.244344,3202165.000000
0,1,2,1,225.225225,3197170.620000
0,1,2,1,224.215247,3197170.620000
0,1,2,1,223.214286,3194631.120000
0,1,2,1,222.222222,3190436.380000
0,1,2,1,221.238938,3187696.500000
0,1,2,1,220.264317,3183537.240000
0,1,2,1,219.298246,3183537.120000
0,1,2,1,218.340611,3181977.000000
0,1,2,1,217.391304,3181977.000000
0,1,2,1,216.450216,3178524.130000
0,1,2,1,215.517241,3175694.620000
0,1,2,1,214.592275,3175482.500000
0,1,2,1,213.675214,3175365.370000
0,1,2,1,212.765957,3174537.250000
0,1,2,1,211.864407,3174392.380000
0,1,2,1,210.970464,3174392.380000
0,1,2,1,210.084034,3174392.380000
0,1,2,1,209.205021,3173953.620000
0,1,2,1,208.333333,3173953.620000
0,1,2,1,207.468880,3173129.630000
0,1,2,1,206.611570,3171567.250000
0,1,2,1,205.761317,3163128.630000
0,1,2,1,204.918033,3163128.630000
0,1,2,1,204.081633,3163047.500000
0,1,2,1,203.252033,3157958.000000
0,1,2,1,202.429150,3157958.000000
0,1,2,1,201.612903,3154350.250000
0,1,2,1,200.803213,3154350.250000
0,1,2,1,200.000000,3151561.500000
0,1,2,1,199.203187,3149054.370000
0,1,2,1,198.412698,3136379.750000
0,1,2,1,197.628458,3136379.750000
0,1,2,1,196.850394,3135138.380000
0,1,2,1,196.078431,3134685.260000
0,1,2,1,195.312500,3131208.240000
0,1,2,1,194.552529,3131208.240000
0,1,2,1,193.798450,3125712.620000
0,1,2,1,193.050193,3122915.120000
0,1,2,1,192.307692,3120659.250000
0,1,2,1,191.570881,3118999.250000
0,1,2,1,190.839695,3118999.250000
0,1,2,1,190.114068,3112182.130000
0,1,2,1,189.393939,3112182.130000
0,1,2,1,188.679245,3105274.630000
0,1,2,1,187.969925,3102089.380000
0,1,2,1,187.265918,3094772.130000
0,1,2,1,186.567164,3091418.880000
0,1,2,1,185.873606,3091418.880000
0,1,2,1,185.185185,3091124.500000
0,1,2,1,184.501845,3090948.500000
0,1,2,1,183.823529,3089914.630000
0,1,2,1,183.150183,3089631.250000
0,1,2,1,182.481752,3087853.000000
0,1,2,1,181.818182,3085041.370000
0,1,2,1,181.159420,3081649.130000
0,1,2,1,180.505415,3078485.620000
0,1,2,1,179.856115,3075515.620000
0,1,2,1,179.211470,3073010.500000
0,1,2,1,178.571429,3073010.500000
0,1,2,1,177.935943,3072663.740000
0,1,2,1,177.304965,3068639.750000
0,1,2,1,176.678445,3067071.750000
0,1,2,1,176.056338,3057714.500000
0,1,2,1,175.438596,3056358.250000
0,1,2,1,174.825175,3052032.370000
0,1,2,1,174.216028,3052032.370000
0,1,2,1,173.611111,3049313.750000
0,1,2,1,173.010381,3043787.370000
0,1,2,1,172.413793,3042924.620000
0,1,2,1,171.821306,3042396.380000
0,1,2,1,171.232877,3040688.500000
0,1,2,1,170.648464,3040078.370000
