RP,Loss_gen,ReturnPeriod,Loss_expected,Loss_Diff,Percent_Diff
10000.0,220000.0,10000.0,220000.015625,0.015625,7.102272727272727e-06
5000.0,220000.0,5000.0,220000.015625,0.015625,7.102272727272727e-06
3333.333333,220000.0,3333.333333,220000.015625,0.015625,7.102272727272727e-06
2500.0,220000.0,2500.0,220000.015625,0.015625,7.102272727272727e-06
2000.0,220000.0,2000.0,220000.015625,0.015625,7.102272727272727e-06
1666.666667,220000.0,1666.666667,220000.015625,0.015625,7.102272727272727e-06
1428.571429,220000.0,1428.571429,220000.015625,0.015625,7.102272727272727e-06
1250.0,220000.0,1250.0,220000.0,0.0,0.0
1111.111111,220000.0,1111.111111,220000.0,0.0,0.0
1000.0,220000.0,1000.0,220000.0,0.0,0.0
909.090909,220000.0,909.090909,220000.0,0.0,0.0
833.333333,220000.0,833.333333,220000.0,0.0,0.0
769.230769,220000.0,769.230769,220000.0,0.0,0.0
714.285714,220000.0,714.285714,220000.0,0.0,0.0
666.666667,220000.0,666.666667,220000.0,0.0,0.0
625.0,220000.0,625.0,220000.0,0.0,0.0
588.235294,220000.0,588.235294,220000.0,0.0,0.0
555.555556,220000.0,555.555556,220000.0,0.0,0.0
526.315789,220000.0,526.315789,220000.0,0.0,0.0
500.0,220000.0,500.0,220000.0,0.0,0.0
476.190476,220000.0,476.190476,220000.0,0.0,0.0
454.545455,220000.0,454.545455,220000.0,0.0,0.0
434.782609,220000.0,434.782609,220000.0,0.0,0.0
416.666667,220000.0,416.666667,220000.0,0.0,0.0
400.0,220000.0,400.0,220000.0,0.0,0.0
384.615385,220000.0,384.615385,220000.0,0.0,0.0
370.37037,220000.0,370.37037,220000.0,0.0,0.0
357.142857,220000.0,357.142857,220000.0,0.0,0.0
344.827586,220000.0,344.827586,220000.0,0.0,0.0
333.333333,220000.0,333.333333,220000.0,0.0,0.0
322.580645,220000.0,322.580645,220000.0,0.0,0.0
312.5,220000.0,312.5,220000.0,0.0,0.0
303.030303,220000.0,303.030303,220000.0,0.0,0.0
294.117647,220000.0,294.117647,220000.0,0.0,0.0
285.714286,220000.0,285.714286,220000.0,0.0,0.0
277.777778,220000.0,277.777778,220000.0,0.0,0.0
270.27027,220000.0,270.27027,220000.0,0.0,0.0
263.157895,220000.0,263.157895,220000.0,0.0,0.0
256.410256,220000.0,256.410256,220000.0,0.0,0.0
250.0,220000.0,250.0,220000.0,0.0,0.0
243.902439,220000.0,243.902439,220000.0,0.0,0.0
238.095238,220000.0,238.095238,220000.0,0.0,0.0
232.55814,220000.0,232.55814,220000.0,0.0,0.0
227.272727,220000.0,227.272727,220000.0,0.0,0.0
222.222222,220000.0,222.222222,220000.0,0.0,0.0
217.391304,220000.0,217.391304,220000.0,0.0,0.0
212.765957,220000.0,212.765957,220000.0,0.0,0.0
208.333333,220000.0,208.333333,220000.0,0.0,0.0
204.081633,220000.0,204.081633,220000.0,0.0,0.0
200.0,220000.0,200.0,220000.0,0.0,0.0
196.078431,220000.0,196.078431,220000.0,0.0,0.0
192.307692,220000.0,192.307692,220000.0,0.0,0.0
188.679245,220000.0,188.679245,220000.0,0.0,0.0
185.185185,220000.0,185.185185,220000.0,0.0,0.0
181.818182,220000.0,181.818182,220000.0,0.0,0.0
178.571429,220000.0,178.571429,220000.0,0.0,0.0
175.438596,220000.0,175.438596,220000.0,0.0,0.0
172.413793,220000.0,172.413793,220000.0,0.0,0.0
169.491525,220000.0,169.491525,220000.0,0.0,0.0
166.666667,220000.0,166.666667,220000.0,0.0,0.0
163.934426,220000.0,163.934426,220000.0,0.0,0.0
161.290323,220000.0,161.290323,220000.0,0.0,0.0
158.730159,220000.0,158.730159,220000.0,0.0,0.0
156.25,220000.0,156.25,220000.0,0.0,0.0
153.846154,220000.0,153.846154,220000.0,0.0,0.0
151.515152,220000.0,151.515152,220000.0,0.0,0.0
149.253731,220000.0,149.253731,220000.0,0.0,0.0
147.058824,220000.0,147.058824,220000.0,0.0,0.0
144.927536,220000.0,144.927536,220000.0,0.0,0.0
142.857143,220000.0,142.857143,220000.0,0.0,0.0
140.84507,220000.0,140.84507,220000.0,0.0,0.0
138.888889,220000.0,138.888889,220000.0,0.0,0.0
136.986301,220000.0,136.986301,220000.0,0.0,0.0
135.135135,220000.0,135.135135,220000.0,0.0,0.0
133.333333,220000.0,133.333333,220000.0,0.0,0.0
131.578947,220000.0,131.578947,220000.0,0.0,0.0
129.87013,220000.0,129.87013,220000.0,0.0,0.0
128.205128,220000.0,128.205128,220000.0,0.0,0.0
126.582278,220000.0,126.582278,220000.0,0.0,0.0
125.0,220000.0,125.0,220000.0,0.0,0.0
123.45679,220000.0,123.45679,220000.0,0.0,0.0
121.95122,220000.0,121.95122,220000.0,0.0,0.0
120.481928,219999.999999,120.481928,220000.0,1.00000761449337e-06,4.5454891568087074e-10
119.047619,219999.999875,119.047619,220000.0,0.00012499999138526618,5.6818177934676776e-08
117.647059,219999.999334,117.647059,220000.0,0.000666000007186085,3.02727276910113e-07
116.27907,219999.997681,116.27907,220000.0,0.002318999991985038,1.054090916558821e-06
114.942529,219999.973187,114.942529,220000.0,0.026813000004040077,1.2187728759970815e-05
113.636364,219999.943079,113.636364,220000.0,0.056921000010333955,2.5873188517096178e-05
112.359551,219999.64923,112.359551,220000.0,0.3507699999900069,0.000159441163300807
111.111111,219999.289432,111.111111,220000.0,0.7105680000095163,0.00032298649774918804
109.89011,219998.130158,109.89011,220000.0,1.8698419999855105,0.0008499354056521355
108.695652,219995.845785,108.695652,220000.0,4.154214999987744,0.0018883152021186896
107.526882,219995.387154,107.526882,220000.0,4.612846000003628,0.0020967921462710344
106.382979,219991.437471,106.382979,220000.0,8.56252899998799,0.0038922101234584324
105.263158,219990.540097,105.263158,220000.0,9.459903000009945,0.004300140813254428
104.166667,219985.801932,104.166667,220000.0,14.198067999997875,0.006454083797820121
103.092784,219982.997055,103.092784,220000.0,17.00294499998563,0.007729208724133604
102.040816,219977.550141,102.040816,220000.0,22.449858999985736,0.010205522784300465
101.010101,219970.543775,101.010101,220000.0,29.456225000001723,0.013390986126820437
100.0,219961.351723,100.0,220000.0,38.648277000000235,0.01757048531356112
99.009901,219941.49735,99.009901,220000.0,58.50265000000945,0.026599186922380686
98.039216,219926.41963,98.039216,220000.0,73.58037000001059,0.033456812566585135
97.087379,219896.324694,97.087379,220000.0,103.67530599999009,0.04714735734863281
96.153846,219872.923116,96.153846,220000.0,127.07688400000916,0.0577956040239508
95.238095,219819.76062,95.238095,220000.0,180.23938000001363,0.08199416626223675
94.339623,219793.639996,94.339623,220000.0,206.36000399998738,0.09388806882844422
93.457944,219730.510236,93.457944,220000.0,269.4897639999981,0.12264558240480784
92.592593,219699.379297,92.592593,220000.0,300.6207029999932,0.136832750261711
91.743119,219664.463118,91.743119,220000.0,335.5368819999858,0.15274973349682924
90.909091,219601.56216,90.909091,220000.0,398.4378399999987,0.18143670567775833
90.09009,219525.662004,90.09009,220000.0,474.33799599998747,0.2160740533338396
89.285714,219474.520245,89.285714,220000.0,525.4797550000076,0.2394263144593792
88.495575,219423.505573,88.495575,220000.0,576.4944269999978,0.26273139037431154
87.719298,219330.325071,87.719298,220000.0,669.6749290000007,0.3053271036657692
86.956522,219264.789551,86.956522,220000.0,735.2104490000056,0.33530711907987354
86.206897,219114.818768,86.206897,220000.0,885.1812320000026,0.40398054178947956
85.470085,218979.812854,85.470085,220000.0,1020.1871460000111,0.46588182385569876
84.745763,218850.457825,84.745763,220000.0,1149.5421750000096,0.525263774371092
84.033613,218753.490784,84.033613,220000.0,1246.5092160000058,0.5698236912849198
83.333333,218631.186976,83.333333,220000.0,1368.8130240000028,0.6260831507767749
82.644628,218561.352824,82.644628,220000.0,1438.6471759999986,0.6582349337663974
81.967213,218487.53713,81.967213,220000.0,1512.4628699999885,0.6922421708200562
81.300813,218353.267209,81.300813,220000.0,1646.7327909999876,0.7541599042911473
80.645161,218295.884441,80.645161,220000.0,1704.115558999998,0.7806448405400783
80.0,218179.594275,80.0,220000.0,1820.4057249999896,0.8343611285230902
79.365079,218008.469025,79.365079,220000.0,1991.5309750000015,0.9135108300639566
78.740157,217902.592394,78.740157,220000.0,2097.4076059999934,0.9625436682311568
78.125,217757.420487,78.125,220000.0,2242.579513000004,1.0298521666837457
77.51938,217508.414302,77.51938,220000.0,2491.58569800001,1.1455123269578724
76.923077,217377.557424,76.923077,220000.0,2622.4425760000013,1.2063998726809069
76.335878,217164.052607,76.335878,220000.0,2835.9473930000095,1.3059009347795696
75.757576,216958.753398,75.757576,220000.0,3041.2466019999993,1.4017625720871396
75.18797,216399.874668,75.18797,220000.0,3600.125331999996,1.6636448322917454
74.626866,216292.259365,74.626866,220000.0,3707.7406349999947,1.7142271507474827
74.074074,216137.17414,74.074074,219999.984375,3862.8102350000117,1.7872030808073431
73.529412,215718.386911,73.529412,219999.984375,4281.597463999991,1.9848087709678965
72.992701,215324.578419,72.992701,219999.984375,4675.405956000002,2.1713294368570097
72.463768,215059.065242,72.463768,219999.984375,4940.9191329999885,2.297470756436195
71.942446,214566.995453,71.942446,219999.984375,5432.9889219999895,2.532071118640454
71.428571,214384.265578,71.428571,219999.984375,5615.718797000009,2.6194640646129073
70.921986,214026.037124,70.921986,219967.09375,5941.056626000005,2.7758569498522943
70.422535,213812.172117,70.422535,219893.75,6081.577882999991,2.844355315595454
69.93007,213669.176598,69.93007,219765.3125,6096.135902000009,2.8530722114726728
69.444444,213380.089828,69.444444,219384.234375,6004.1445470000035,2.8138260471442225
68.965517,212917.977516,68.965517,218067.21875,5149.241233999986,2.418415435875085
68.493151,212663.578118,68.493151,217934.03125,5270.453131999995,2.4783054901275077
68.027211,212459.201387,68.027211,217736.28125,5277.079862999992,2.483808575269777
67.567568,212174.824193,67.567568,217213.9375,5039.113306999992,2.3749817284713655
67.114094,211598.625636,67.114094,216346.96875,4748.343113999988,2.244033060105158
66.666667,211211.787322,66.666667,215149.59375,3937.806428000011,1.8643876262439285
66.225166,210663.938874,66.225166,213825.53125,3161.592375999986,1.5007753072968804
65.789474,210013.70244,65.789474,213632.5625,3618.8600600000063,1.7231542599149687
65.359477,209708.020054,65.359477,211666.953125,1958.9330710000067,0.9341240599646975
64.935065,208993.210979,64.935065,211263.8125,2270.601521000004,1.0864475024636844
64.516129,208751.634878,64.516129,210273.328125,1521.6932469999883,0.7289491399141885
64.102564,208594.759062,64.102564,210229.109375,1634.3503130000026,0.7835049741178922
63.694268,208111.870681,63.694268,210076.78125,1964.9105689999997,0.9441607355554804
63.291139,207679.998473,63.291139,209958.734375,2278.735901999986,1.0972341673510937
62.893082,207434.891875,62.893082,209946.90625,2512.014374999999,1.2109893144272639
62.5,206736.914802,62.5,207991.484375,1254.5695729999861,0.6068435210042369
62.111801,206101.052459,62.111801,207863.9375,1762.8850410000014,0.8553498490022
61.728395,205486.71406,61.728395,206352.3125,865.5984400000016,0.4212430199975146
61.349693,205094.788936,61.349693,206105.71875,1010.9298140000028,0.4929085810734393
60.97561,204717.76162,60.97561,205174.546875,456.78525499999523,0.22312927387702022
60.606061,204411.667536,60.606061,205152.5625,740.8949640000064,0.362452384900937
60.240964,204206.778644,60.240964,203155.40625,1051.3723940000054,0.5148567549919073
59.88024,203830.310358,59.88024,203068.5,761.8103579999879,0.37374733750930983
59.52381,203525.473695,59.52381,202885.796875,639.6768199999933,0.3142981605136086
59.171598,203290.678791,59.171598,202487.84375,802.835041000013,0.39491975026823306
58.823529,202777.38963,58.823529,202336.0,441.3896299999906,0.21767201501379274
