group_set_id,output_set_id,SummaryId,GroupPeriod,Period,group_event_set_id,EventId,Loss,LossType
0,0,1,3,487,1,698,198404.0,1
0,0,1,3,487,1,698,200495.421875,3
0,0,1,4,572,1,824,198404.0,1
0,0,1,4,572,1,824,227511.953125,3
0,0,1,6,151,1,218,565875.9375,1
0,0,1,6,151,1,218,596160.25,3
0,0,1,16,311,1,431,1323980.0,1
0,0,1,16,311,1,431,1291760.375,3
0,0,1,20,366,1,510,198404.0,1
0,0,1,20,366,1,510,177430.390625,3
0,0,1,21,118,1,166,99202.0,1
0,0,1,21,118,1,166,117487.3125,3
0,0,1,27,458,1,658,1930000.0,1
0,0,1,27,458,1,658,1736774.375,3
0,0,1,31,842,1,1229,755788.0,1
0,0,1,31,842,1,1229,748379.9375,3
0,0,1,32,738,1,1066,198404.0,1
0,0,1,32,738,1,1066,248706.828125,3
0,0,1,38,164,1,241,198404.0,1
0,0,1,38,164,1,241,180651.328125,3
0,0,1,39,263,1,369,755788.0,1
0,0,1,39,263,1,369,750006.3125,3
0,0,1,42,225,1,317,1138700.0,1
0,0,1,42,225,1,317,1131844.125,3
0,0,1,44,193,1,283,198404.0,1
0,0,1,44,193,1,283,179571.125,3
0,0,1,47,548,1,785,198404.0,1
0,0,1,47,548,1,785,243705.03125,3
0,0,1,48,949,1,1377,198404.0,1
0,0,1,48,949,1,1377,225257.625,3
0,0,1,49,575,1,828,198404.0,1
0,0,1,49,575,1,828,200164.484375,3
0,0,1,54,9,1,17,198404.0,1
0,0,1,54,9,1,17,181579.125,3
0,0,1,56,879,1,1275,755788.0,1
0,0,1,56,879,1,1275,788003.5625,3
0,0,1,63,656,1,942,565875.9375,1
0,0,1,63,656,1,942,535545.125,3
0,0,1,66,786,1,1142,198404.0,1
0,0,1,66,786,1,1142,157597.15625,3
0,0,1,66,786,1,1144,198404.0,1
0,0,1,66,786,1,1144,189636.046875,3
0,0,1,69,240,1,333,1516980.0,1
0,0,1,69,240,1,333,1449608.0,3
0,0,1,70,464,1,671,198404.0,1
0,0,1,70,464,1,671,190432.90625,3
0,0,1,71,194,1,286,198404.0,1
0,0,1,71,194,1,286,227595.671875,3
0,0,1,72,629,1,898,382140.0,1
0,0,1,72,629,1,898,406972.9375,3
0,0,1,74,219,1,309,198404.0,1
0,0,1,74,219,1,309,210839.953125,3
0,0,1,74,219,1,310,198404.0,1
0,0,1,74,219,1,310,196706.78125,3
0,0,1,75,627,1,896,198404.0,1
0,0,1,75,627,1,896,189230.59375,3
0,0,1,75,627,1,897,198404.0,1
0,0,1,75,627,1,897,207359.09375,3
0,0,1,76,20,1,34,198404.0,1
0,0,1,76,20,1,34,162201.84375,3
0,0,1,81,413,1,590,198404.0,1
0,0,1,81,413,1,590,200095.84375,3
0,0,1,82,792,1,1152,198404.0,1
0,0,1,82,792,1,1152,169753.59375,3
0,0,1,85,293,1,408,1516980.0,1
0,0,1,85,293,1,408,1473661.875,3
0,0,1,86,56,1,84,382140.0,1
0,0,1,86,56,1,84,337746.21875,3
0,0,1,88,916,1,1323,198404.0,1
0,0,1,88,916,1,1323,210904.171875,3
0,0,1,94,930,1,1345,99202.0,1
0,0,1,94,930,1,1345,110418.875,3
0,0,1,101,648,1,929,198404.0,1
0,0,1,101,648,1,929,213232.421875,3
0,0,1,105,146,1,211,198404.0,1
0,0,1,105,146,1,211,166718.578125,3
0,0,1,108,454,1,652,1138700.0,1
0,0,1,108,454,1,652,1173532.375,3
0,0,1,110,371,1,517,198404.0,1
0,0,1,110,371,1,517,167819.84375,3
0,0,1,111,432,1,631,198404.0,1
0,0,1,111,432,1,631,167129.203125,3
0,0,1,113,635,1,907,198404.0,1
0,0,1,113,635,1,907,195692.25,3
0,0,1,117,274,1,386,198404.0,1
0,0,1,117,274,1,386,202099.140625,3
0,0,1,118,381,1,538,99202.0,1
0,0,1,118,381,1,538,70980.5,3
0,0,1,119,369,1,514,198404.0,1
0,0,1,119,369,1,514,219943.53125,3
0,0,1,123,435,1,636,198404.0,1
0,0,1,123,435,1,636,176015.71875,3
0,0,1,129,960,1,1391,198404.0,1
0,0,1,129,960,1,1391,206565.109375,3
0,0,1,134,943,1,1368,565875.9375,1
0,0,1,134,943,1,1368,515024.0625,3
0,0,1,136,616,1,880,382140.0,1
0,0,1,136,616,1,880,382624.125,3
0,0,1,141,384,1,543,99202.0,1
0,0,1,141,384,1,543,113589.828125,3
0,0,1,142,466,1,676,198404.0,1
0,0,1,142,466,1,676,210794.0,3
0,0,1,145,423,1,605,198404.0,1
0,0,1,145,423,1,605,186740.359375,3
0,0,1,151,953,1,1384,755788.0,1
0,0,1,151,953,1,1384,756037.0,3
0,0,1,161,839,1,1225,198404.0,1
0,0,1,161,839,1,1225,192355.46875,3
0,0,1,161,839,1,1226,198404.0,1
0,0,1,161,839,1,1226,175468.25,3
0,0,1,162,152,1,221,198404.0,1
0,0,1,162,152,1,221,203077.984375,3
0,0,1,162,152,1,222,198404.0,1
0,0,1,162,152,1,222,216685.796875,3
0,0,1,164,86,1,125,198404.0,1
0,0,1,164,86,1,125,190189.59375,3
0,0,1,165,195,1,287,382140.0,1
0,0,1,165,195,1,287,349647.21875,3
0,0,1,170,258,1,362,198404.0,1
0,0,1,170,258,1,362,201215.6875,3
0,0,1,170,258,1,364,198404.0,1
0,0,1,170,258,1,364,216881.953125,3
0,0,1,176,964,1,1395,198404.0,1
0,0,1,176,964,1,1395,194954.609375,3
0,0,1,177,950,1,1379,198404.0,1
0,0,1,177,950,1,1379,170739.96875,3
0,0,1,179,310,1,429,198404.0,1
0,0,1,179,310,1,429,216701.703125,3
0,0,1,180,234,1,328,198404.0,1
0,0,1,180,234,1,328,209625.65625,3
0,0,1,184,161,1,237,382140.0,1
0,0,1,184,161,1,237,359675.0,3
0,0,1,185,552,1,790,198404.0,1
0,0,1,185,552,1,790,206517.984375,3
0,0,1,186,358,1,502,198404.0,1
0,0,1,186,358,1,502,195483.53125,3
0,0,1,187,783,1,1138,198404.0,1
0,0,1,187,783,1,1138,211122.328125,3
0,0,1,187,783,1,1139,198404.0,1
0,0,1,187,783,1,1139,246930.59375,3
0,0,1,188,890,1,1294,1138700.0,1
0,0,1,188,890,1,1294,1133895.375,3
0,0,1,189,692,1,997,198404.0,1
0,0,1,189,692,1,997,167247.40625,3
0,0,1,195,158,1,231,198404.0,1
0,0,1,195,158,1,231,170600.828125,3
0,0,1,197,657,1,944,382140.0,1
0,0,1,197,657,1,944,349741.25,3
0,0,1,203,547,1,782,198404.0,1
0,0,1,203,547,1,782,214125.296875,3
0,0,1,204,765,1,1112,198404.0,1
0,0,1,204,765,1,1112,215911.96875,3
0,0,1,204,765,1,1114,198404.0,1
0,0,1,204,765,1,1114,219075.25,3
0,0,1,210,333,1,467,198404.0,1
0,0,1,210,333,1,467,159660.421875,3
0,0,1,211,148,1,213,198404.0,1
0,0,1,211,148,1,213,211001.953125,3
0,0,1,215,424,1,611,198404.0,1
0,0,1,215,424,1,611,160591.921875,3
0,0,1,221,57,1,85,198404.0,1
0,0,1,221,57,1,85,192260.796875,3
0,0,1,226,614,1,877,198404.0,1
0,0,1,226,614,1,877,184775.234375,3
0,0,1,228,710,1,1021,198404.0,1
0,0,1,228,710,1,1021,227063.90625,3
0,0,1,230,404,1,566,1930000.0,1
0,0,1,230,404,1,566,1930000.0,3
0,0,1,232,32,1,51,945700.0,1
0,0,1,232,32,1,51,953494.6875,3
0,0,1,235,720,1,1038,198404.0,1
0,0,1,235,720,1,1038,256013.703125,3
0,0,1,238,441,1,642,1930000.0,1
0,0,1,238,441,1,642,1930000.0,3
0,0,1,244,978,1,1419,198404.0,1
0,0,1,244,978,1,1419,199839.65625,3
0,0,1,249,262,1,367,198404.0,1
0,0,1,249,262,1,367,201154.5625,3
0,0,1,250,326,1,456,198404.0,1
0,0,1,250,326,1,456,182386.09375,3
0,0,1,251,526,1,745,198404.0,1
0,0,1,251,526,1,745,161424.9375,3
0,0,1,254,918,1,1324,198404.0,1
0,0,1,254,918,1,1324,161047.71875,3
0,0,1,254,918,1,1325,198404.0,1
0,0,1,254,918,1,1325,181874.90625,3
0,0,1,255,25,1,41,198404.0,1
0,0,1,255,25,1,41,200368.140625,3
0,0,1,255,25,1,43,1930000.0,1
0,0,1,255,25,1,43,1930000.0,3
0,0,1,257,257,1,359,198404.0,1
0,0,1,257,257,1,359,191078.53125,3
0,0,1,257,257,1,360,198404.0,1
0,0,1,257,257,1,360,177388.296875,3
0,0,1,258,492,1,704,945700.0,1
0,0,1,258,492,1,704,946660.8125,3
0,0,1,261,915,1,1322,198404.0,1
0,0,1,261,915,1,1322,176664.171875,3
0,0,1,264,683,1,988,382140.0,1
0,0,1,264,683,1,988,379975.1875,3
0,0,1,264,683,1,990,755788.0,1
0,0,1,264,683,1,990,719875.625,3
0,0,1,265,666,1,954,198404.0,1
0,0,1,265,666,1,954,216342.09375,3
0,0,1,266,536,1,762,198404.0,1
0,0,1,266,536,1,762,204086.921875,3
0,0,1,269,519,1,737,198404.0,1
0,0,1,269,519,1,737,195944.359375,3
0,0,1,271,49,1,72,382140.0,1
0,0,1,271,49,1,72,338710.9375,3
0,0,1,273,852,1,1239,198404.0,1
0,0,1,273,852,1,1239,160600.75,3
0,0,1,283,94,1,134,198404.0,1
0,0,1,283,94,1,134,208850.8125,3
0,0,1,286,924,1,1334,198404.0,1
0,0,1,286,924,1,1334,175509.8125,3
0,0,1,288,2,1,2,755788.0,1
0,0,1,288,2,1,2,735891.875,3
0,0,1,288,2,1,3,1930000.0,1
0,0,1,288,2,1,3,1930000.0,3
0,0,1,290,534,1,757,198404.0,1
0,0,1,290,534,1,757,189563.671875,3
0,0,1,293,597,1,847,198404.0,1
0,0,1,293,597,1,847,166368.734375,3
0,0,1,293,597,1,848,198404.0,1
0,0,1,293,597,1,848,173769.09375,3
0,0,1,299,1000,1,1447,198404.0,1
0,0,1,299,1000,1,1447,182787.53125,3
0,0,1,303,341,1,485,198404.0,1
0,0,1,303,341,1,485,216200.5,3
0,0,1,306,999,1,1446,198404.0,1
0,0,1,306,999,1,1446,222164.546875,3
0,0,1,308,5,1,5,755788.0,1
0,0,1,308,5,1,5,764938.6875,3
0,0,1,309,465,1,674,198404.0,1
0,0,1,309,465,1,674,209660.21875,3
0,0,1,310,199,1,292,945700.0,1
0,0,1,310,199,1,292,923920.375,3
0,0,1,313,676,1,974,198404.0,1
0,0,1,313,676,1,974,224185.5,3
0,0,1,314,175,1,258,198404.0,1
0,0,1,314,175,1,258,215881.125,3
0,0,1,315,425,1,612,198404.0,1
0,0,1,315,425,1,612,213308.875,3
0,0,1,315,425,1,614,198404.0,1
0,0,1,315,425,1,614,243821.53125,3
0,0,1,317,560,1,805,198404.0,1
0,0,1,317,560,1,805,173605.1875,3
0,0,1,319,241,1,335,198404.0,1
0,0,1,319,241,1,335,206169.296875,3
0,0,1,319,241,1,336,198404.0,1
0,0,1,319,241,1,336,198986.09375,3
0,0,1,324,690,1,995,198404.0,1
0,0,1,324,690,1,995,216316.625,3
0,0,1,325,473,1,680,198404.0,1
0,0,1,325,473,1,680,225672.625,3
0,0,1,327,116,1,161,198404.0,1
0,0,1,327,116,1,161,196464.25,3
0,0,1,327,116,1,162,198404.0,1
0,0,1,327,116,1,162,201897.90625,3
0,0,1,330,288,1,402,198404.0,1
0,0,1,330,288,1,402,224224.578125,3
0,0,1,335,276,1,389,382140.0,1
0,0,1,335,276,1,389,403500.28125,3
0,0,1,338,539,1,768,99202.0,1
0,0,1,338,539,1,768,129557.125,3
0,0,1,340,771,1,1120,198404.0,1
0,0,1,340,771,1,1120,168432.25,3
0,0,1,344,267,1,375,198404.0,1
0,0,1,344,267,1,375,203470.21875,3
0,0,1,345,201,1,293,198404.0,1
0,0,1,345,201,1,293,187341.34375,3
0,0,1,346,558,1,800,198404.0,1
0,0,1,346,558,1,800,184716.375,3
0,0,1,350,508,1,720,755788.0,1
0,0,1,350,508,1,720,782881.5625,3
0,0,1,354,816,1,1193,382140.0,1
0,0,1,354,816,1,1193,381425.28125,3
0,0,1,355,734,1,1061,198404.0,1
0,0,1,355,734,1,1061,163727.84375,3
0,0,1,356,206,1,297,198404.0,1
0,0,1,356,206,1,297,220536.34375,3
0,0,1,357,603,1,861,565875.9375,1
0,0,1,357,603,1,861,542141.125,3
0,0,1,357,603,1,862,198404.0,1
0,0,1,357,603,1,862,179170.6875,3
0,0,1,358,8,1,12,198404.0,1
0,0,1,358,8,1,12,149753.65625,3
0,0,1,360,53,1,79,382140.0,1
0,0,1,360,53,1,79,400335.4375,3
0,0,1,361,825,1,1210,198404.0,1
0,0,1,361,825,1,1210,240581.5,3
0,0,1,365,60,1,89,198404.0,1
0,0,1,365,60,1,89,226265.65625,3
0,0,1,366,598,1,851,198404.0,1
0,0,1,366,598,1,851,190162.171875,3
0,0,1,366,598,1,853,198404.0,1
0,0,1,366,598,1,853,275363.0625,3
0,0,1,366,598,1,854,99202.0,1
0,0,1,366,598,1,854,95469.164062,3
0,0,1,367,285,1,400,198404.0,1
0,0,1,367,285,1,400,206263.984375,3
0,0,1,371,731,1,1056,198404.0,1
0,0,1,371,731,1,1056,177725.40625,3
0,0,1,372,103,1,145,198404.0,1
0,0,1,372,103,1,145,199476.84375,3
0,0,1,372,103,1,147,198404.0,1
0,0,1,372,103,1,147,228424.78125,3
0,0,1,376,374,1,521,198404.0,1
0,0,1,376,374,1,521,254070.421875,3
0,0,1,379,316,1,435,755788.0,1
0,0,1,379,316,1,435,755754.5625,3
0,0,1,380,456,1,655,99202.0,1
0,0,1,380,456,1,655,104905.203125,3
0,0,1,387,27,1,46,99202.0,1
0,0,1,387,27,1,46,67850.84375,3
0,0,1,388,581,1,834,198404.0,1
0,0,1,388,581,1,834,210331.625,3
0,0,1,396,174,1,256,198404.0,1
0,0,1,396,174,1,256,166767.46875,3
0,0,1,400,117,1,164,198404.0,1
0,0,1,400,117,1,164,187703.609375,3
0,0,1,408,351,1,494,198404.0,1
0,0,1,408,351,1,494,154711.671875,3
0,0,1,412,361,1,506,198404.0,1
0,0,1,412,361,1,506,182343.71875,3
0,0,1,415,877,1,1271,1930000.0,1
0,0,1,415,877,1,1271,1930000.0,3
0,0,1,418,607,1,868,198404.0,1
0,0,1,418,607,1,868,200653.9375,3
0,0,1,419,762,1,1104,198404.0,1
0,0,1,419,762,1,1104,213702.65625,3
0,0,1,420,422,1,603,198404.0,1
0,0,1,420,422,1,603,137371.15625,3
0,0,1,426,793,1,1154,198404.0,1
0,0,1,426,793,1,1154,228231.078125,3
0,0,1,426,793,1,1155,198404.0,1
0,0,1,426,793,1,1155,199927.484375,3
0,0,1,428,878,1,1274,198404.0,1
0,0,1,428,878,1,1274,221649.96875,3
0,0,1,430,887,1,1290,198404.0,1
0,0,1,430,887,1,1290,195131.46875,3
0,0,1,443,931,1,1348,198404.0,1
0,0,1,443,931,1,1348,242351.5,3
0,0,1,447,50,1,74,198404.0,1
0,0,1,447,50,1,74,222409.796875,3
0,0,1,448,68,1,102,198404.0,1
0,0,1,448,68,1,102,232595.78125,3
0,0,1,450,939,1,1361,1930000.0,1
0,0,1,450,939,1,1361,1930000.0,3
0,0,1,452,717,1,1031,198404.0,1
0,0,1,452,717,1,1031,201068.921875,3
0,0,1,462,618,1,885,198404.0,1
0,0,1,462,618,1,885,209056.828125,3
0,0,1,467,106,1,149,198404.0,1
0,0,1,467,106,1,149,160265.90625,3
0,0,1,478,611,1,874,198404.0,1
0,0,1,478,611,1,874,214634.953125,3
0,0,1,486,577,1,830,565875.9375,1
0,0,1,486,577,1,830,568948.375,3
0,0,1,488,73,1,109,198404.0,1
0,0,1,488,73,1,109,190216.140625,3
0,0,1,497,958,1,1389,1516980.0,1
0,0,1,497,958,1,1389,1424179.875,3
0,0,1,501,777,1,1127,198404.0,1
0,0,1,501,777,1,1127,202600.53125,3
0,0,1,506,756,1,1094,198404.0,1
0,0,1,506,756,1,1094,167263.875,3
0,0,1,506,756,1,1095,99202.0,1
0,0,1,506,756,1,1095,62802.050781,3
0,0,1,509,426,1,618,99202.0,1
0,0,1,509,426,1,618,115115.875,3
0,0,1,509,426,1,619,198404.0,1
0,0,1,509,426,1,619,193651.203125,3
0,0,1,509,426,1,620,198404.0,1
0,0,1,509,426,1,620,174369.09375,3
0,0,1,509,426,1,621,99202.0,1
0,0,1,509,426,1,621,114706.648438,3
0,0,1,511,173,1,254,755788.0,1
0,0,1,511,173,1,254,782966.3125,3
0,0,1,512,798,1,1166,198404.0,1
0,0,1,512,798,1,1166,193419.34375,3
0,0,1,519,745,1,1081,198404.0,1
0,0,1,519,745,1,1081,178492.796875,3
0,0,1,519,745,1,1082,382140.0,1
0,0,1,519,745,1,1082,347892.09375,3
0,0,1,521,229,1,321,198404.0,1
0,0,1,521,229,1,321,190726.5,3
0,0,1,525,855,1,1243,198404.0,1
0,0,1,525,855,1,1243,172885.53125,3
0,0,1,526,345,1,487,198404.0,1
0,0,1,526,345,1,487,231391.625,3
0,0,1,527,947,1,1373,99202.0,1
0,0,1,527,947,1,1373,111860.015625,3
0,0,1,529,891,1,1296,198404.0,1
0,0,1,529,891,1,1296,221234.953125,3
0,0,1,547,642,1,919,198404.0,1
0,0,1,547,642,1,919,168449.796875,3
0,0,1,548,41,1,64,198404.0,1
0,0,1,548,41,1,64,219686.40625,3
0,0,1,548,41,1,66,1138700.0,1
0,0,1,548,41,1,66,1157638.625,3
0,0,1,554,983,1,1424,198404.0,1
0,0,1,554,983,1,1424,161915.84375,3
0,0,1,555,134,1,183,198404.0,1
0,0,1,555,134,1,183,185059.265625,3
0,0,1,558,532,1,754,1930000.0,1
0,0,1,558,532,1,754,1906466.0,3
0,0,1,561,92,1,132,198404.0,1
0,0,1,561,92,1,132,196069.84375,3
0,0,1,564,79,1,119,198404.0,1
0,0,1,564,79,1,119,214460.59375,3
0,0,1,571,833,1,1221,99202.0,1
0,0,1,571,833,1,1221,116969.335938,3
0,0,1,572,992,1,1437,198404.0,1
0,0,1,572,992,1,1437,208121.25,3
0,0,1,573,169,1,249,198404.0,1
0,0,1,573,169,1,249,222322.578125,3
0,0,1,575,202,1,294,1323980.0,1
0,0,1,575,202,1,294,1342925.625,3
0,0,1,580,244,1,339,198404.0,1
0,0,1,580,244,1,339,182282.125,3
0,0,1,581,479,1,687,198404.0,1
0,0,1,581,479,1,687,220991.625,3
0,0,1,583,249,1,345,198404.0,1
0,0,1,583,249,1,345,158704.53125,3
0,0,1,585,791,1,1151,198404.0,1
0,0,1,585,791,1,1151,190463.84375,3
0,0,1,588,497,1,709,945700.0,1
0,0,1,588,497,1,709,983003.5,3
0,0,1,590,688,1,993,198404.0,1
0,0,1,590,688,1,993,206980.578125,3
0,0,1,590,688,1,994,198404.0,1
0,0,1,590,688,1,994,183167.5,3
0,0,1,591,475,1,684,198404.0,1
0,0,1,591,475,1,684,166504.328125,3
0,0,1,594,564,1,808,198404.0,1
0,0,1,594,564,1,808,230145.171875,3
0,0,1,594,564,1,809,198404.0,1
0,0,1,594,564,1,809,203885.84375,3
0,0,1,597,919,1,1330,99202.0,1
0,0,1,597,919,1,1330,101664.296875,3
0,0,1,599,142,1,195,198404.0,1
0,0,1,599,142,1,195,217194.203125,3
0,0,1,599,142,1,196,198404.0,1
0,0,1,599,142,1,196,186948.765625,3
0,0,1,604,828,1,1217,198404.0,1
0,0,1,604,828,1,1217,175170.078125,3
0,0,1,606,952,1,1382,198404.0,1
0,0,1,606,952,1,1382,131898.328125,3
0,0,1,610,337,1,477,198404.0,1
0,0,1,610,337,1,477,227211.71875,3
0,0,1,616,812,1,1188,198404.0,1
0,0,1,616,812,1,1188,176075.65625,3
0,0,1,620,198,1,289,198404.0,1
0,0,1,620,198,1,289,226158.34375,3
0,0,1,620,198,1,290,198404.0,1
0,0,1,620,198,1,290,217546.171875,3
0,0,1,620,198,1,291,1745878.0,1
0,0,1,620,198,1,291,1573236.625,3
0,0,1,621,1,1,1,198404.0,1
0,0,1,621,1,1,1,181563.15625,3
0,0,1,624,962,1,1392,198404.0,1
0,0,1,624,962,1,1392,208866.8125,3
0,0,1,625,399,1,561,198404.0,1
0,0,1,625,399,1,561,217526.203125,3
0,0,1,626,772,1,1122,198404.0,1
0,0,1,626,772,1,1122,226070.40625,3
0,0,1,631,411,1,584,198404.0,1
0,0,1,631,411,1,584,205934.796875,3
0,0,1,644,484,1,693,198404.0,1
0,0,1,644,484,1,693,208494.765625,3
0,0,1,644,484,1,695,198404.0,1
0,0,1,644,484,1,695,209218.765625,3
0,0,1,646,652,1,935,198404.0,1
0,0,1,646,652,1,935,216145.875,3
0,0,1,652,903,1,1309,99202.0,1
0,0,1,652,903,1,1309,92017.335938,3
0,0,1,653,319,1,447,99202.0,1
0,0,1,653,319,1,447,101610.875,3
0,0,1,654,213,1,307,945700.0,1
0,0,1,654,213,1,307,920124.3125,3
0,0,1,655,177,1,261,198404.0,1
0,0,1,655,177,1,261,168584.53125,3
0,0,1,668,228,1,320,198404.0,1
0,0,1,668,228,1,320,211863.40625,3
0,0,1,671,496,1,708,382140.0,1
0,0,1,671,496,1,708,370416.6875,3
